LogPython: Actor: SmartObjectCollection_0 | Class: SmartObjectCollection | Stencil Value: 1
LogPython: Actor: TemplateActor_UAID_D45D6454B40F8AF200_1665275199 | Class: Actor | Stencil Value: 21
LogPython: Actor: TemplateActor_UAID_D45D6454B40F8AF200_1569297434 | Class: Actor | Stencil Value: 21
LogPython: Actor: BPP_Courtyard_block_C_C_UAID_D45D6454B40F8AF200_1573128149 | Class: BPP_Courtyard_block_C_C | Stencil Value: 27
LogPython: Actor: TemplateActor_UAID_D45D6454B40F8AF200_1863474092 | Class: Actor | Stencil Value: 21
LogPython: Actor: TemplateActor_UAID_D45D6454B40F8AF200_1708047977 | Class: Actor | Stencil Value: 21
LogPython: Actor: TemplateActor_UAID_D45D6454B40F8AF200_1565782749 | Class: Actor | Stencil Value: 21
LogPython: Actor: WorldAudioDataClusterActor_UAID_50E085895E4EA7F000_1278487084 | Class: WorldAudioDataClusterActor | Stencil Value: 22
LogPython: Actor: TemplateActor_UAID_D45D6454B40F8AF200_1565589660 | Class: Actor | Stencil Value: 21
LogPython: Actor: WorldAudioDataClusterActor_UAID_50E085895E4EA7F000_1293299176 | Class: WorldAudioDataClusterActor | Stencil Value: 22
LogPython: Actor: WorldAudioDataClusterActor_UAID_50E085895E4EA7F000_1271050040 | Class: WorldAudioDataClusterActor | Stencil Value: 22
LogPython: Actor: TemplateActor_UAID_D45D6454B40F8AF200_1566525914 | Class: Actor | Stencil Value: 21
LogPython: Actor: TemplateActor_UAID_D45D6454B40F8AF200_1569213389 | Class: Actor | Stencil Value: 21
LogPython: Actor: TemplateActor_UAID_D45D6454B40F8AF200_1621937339 | Class: Actor | Stencil Value: 21
LogPython: Actor: BPP_Plaza_Small_K_C_UAID_D45D6454B40F8AF200_1573089128 | Class: BPP_Plaza_Small_K_C | Stencil Value: 28
LogPython: Actor: WorldAudioDataClusterActor_UAID_50E085895E4EA7F000_1293750179 | Class: WorldAudioDataClusterActor | Stencil Value: 22
LogPython: Actor: TemplateActor_UAID_D45D6454B40F8AF200_1563648585 | Class: Actor | Stencil Value: 21
LogPython: Actor: TemplateActor_UAID_70208409E683DEF600_1532473722 | Class: Actor | Stencil Value: 21
LogPython: Actor: TemplateActor_UAID_D45D6454B40F8AF200_1688093354 | Class: Actor | Stencil Value: 21
LogPython: Actor: TemplateActor_UAID_D45D6454B40F8AF200_1673277609 | Class: Actor | Stencil Value: 21
LogPython: Actor: TemplateActor_UAID_D45D6454B40F8AF200_1708060978 | Class: Actor | Stencil Value: 21
