id,tx,ty,tz,qx,qy,qz,qw,t
111,-25482.128906,-6720.212891,308.383759,0.002213,-0.002198,0.709524,0.704675,3.733333
112,-25484.890625,-6447.003906,308.897583,0.002107,-0.002093,0.709506,0.704693,3.766667
113,-25487.650391,-6173.964844,309.411102,0.002002,-0.001988,0.709489,0.704711,3.800000
114,-25490.408203,-5901.150391,309.924194,0.001896,-0.001883,0.709472,0.704728,3.833333
115,-25493.162109,-5628.603516,310.436768,0.001791,-0.001779,0.709455,0.704746,3.866667
116,-25495.916016,-5356.376953,310.948730,0.001686,-0.001674,0.709438,0.704764,3.900000
117,-25498.662109,-5084.523438,311.460022,0.001580,-0.001570,0.709421,0.704782,3.933333
118,-25501.408203,-4813.082031,311.970520,0.001476,-0.001466,0.709403,0.704800,3.966667
119,-25504.146484,-4542.107422,312.480133,0.001371,-0.001362,0.709386,0.704817,4.000000
120,-25506.880859,-4271.652344,312.988770,0.001266,-0.001258,0.709369,0.704835,4.033333
121,-25509.609375,-4001.757812,313.496368,0.001162,-0.001155,0.709352,0.704852,4.066667
122,-25512.330078,-3732.478516,314.002808,0.001058,-0.001051,0.709335,0.704870,4.100000
123,-25515.046875,-3463.863281,314.507996,0.000954,-0.000948,0.709318,0.704887,4.133333
124,-25517.753906,-3195.960938,315.011841,0.000851,-0.000846,0.709301,0.704905,4.166667
125,-25520.453125,-2928.822266,315.514252,0.000748,-0.000743,0.709284,0.704922,4.200000
126,-25523.146484,-2662.490234,316.015137,0.000645,-0.000641,0.709267,0.704939,4.233333
127,-25525.830078,-2397.019531,316.514404,0.000542,-0.000539,0.709250,0.704956,4.266667
128,-25528.503906,-2132.458984,317.011963,0.000440,-0.000437,0.709233,0.704973,4.300000
129,-25531.169922,-1868.853516,317.507690,0.000338,-0.000336,0.709217,0.704990,4.333333
130,-25533.822266,-1606.257812,318.001556,0.000237,-0.000235,0.709200,0.705007,4.366667
131,-25536.468750,-1344.716797,318.493439,0.000136,-0.000135,0.709183,0.705024,4.400000
132,-25539.099609,-1084.281250,318.983246,0.000035,-0.000035,0.709166,0.705041,4.433333
133,-25541.720703,-825.003906,319.470886,-0.000065,0.000065,0.709150,0.705058,4.466667
134,-25544.330078,-566.931641,319.956238,-0.000165,0.000164,0.709133,0.705074,4.500000
